Title;Author;Co-Author;IsSpliced;Plays;Splices;Released Splices;Likes;Date;Comments
GIVE IT UP ALREADY FT GAZZO CLEAN VERSION;djadhd;-;False;34;0;0;2;08/01/2018;0
a rap song ( i dont normally do this but a friend said i should post this and show people what i can do );djadhd;-;False;34;0;0;0;10/01/2018;0
(second rap ) just messing around showing people what i can do , i would like to do this for a living also so if u want me to make something for u inbox me we will talk;djadhd;-;FALSE;26;0;0;0;10/01/2018;0
a drop version demo lol ( just throwing stuff out there for people to see dont mind , my friend said i should so ya lol i dont usually do rap but meh i gave it a try i put all three of these together in not even an hour;djadhd;-;FALSE;39;0;0;0;10/01/2018;0
Ted knows best remix by ADEHD;djadhd;-;False;20;0;0;0;21/01/2018;0
Fuck Dillion 2k15;djki;CHMurray345;False;443;0;0;0;23/01/2015;1
808stateofmind;djtantric;-;False;169;0;0;3;23/01/2015;0
Thomas Gold x Rico & Miella - On Fire (Masterclass);djthomasgold;brett;False;21763;2721;0;244;23/01/2016;14
I Guess I'll Go Now By L;DJUDE;-;False;409;20;0;6;28/03/2017;0
Game Over By L;DJUDE;-;False;43;1;0;1;18/01/2018;0
Hard Brass Instrumental (Prod. Jamie Gifford);DntFckWithCOWS;-;False;370;18;0;1;24/10/2017;0
Escape (Prod. JG Beats);DntFckWithCOWS;-;False;212;8;0;0;23/12/2017;0
Doctor Jeep - Delta [Splice WIP];doctajeep;marsattacks-bakir;False;1275;53;1;14;23/01/2015;4
geode;doodle;-;False;46;4;0;0;23/01/2014;1
Ice FUCKIT Challenge;doodle;aylen-brett;False;92;1;0;2;23/01/2015;0
sea way;doodle;-;False;35;1;0;1;23/01/2015;0
Project Zexo;Draiocht;-;False;399;15;0;4;23/11/2017;4
On and On;DrFresch;brett;False;401;65;0;9;23/01/2016;0
Beat Grummant;duckhunter;-;False;151;9;0;4;23/01/2015;1
Bayu;duckhunter;-;False;178;11;0;4;23/01/2015;2
Solitarium;duckhunter;Bassology;False;258;6;0;3;23/01/2015;1
Massive Deep;duckhunter;-;False;344;4;1;1;23/01/2015;0
Object Control;duckhunter;-;False;285;6;0;2;23/01/2015;0
Testdrive;duckhunter;-;False;216;8;0;7;23/01/2015;0
Electric Blue;duckhunter;-;False;320;9;0;3;23/01/2015;2
Pirate Ship;duckhunter;-;False;278;15;0;3;23/01/2015;2
La Tama (preview);duckhunter;-;False;241;8;0;7;23/01/2015;0
Mystery_Operator (Operator Sound Design Project);duckhunter;-;False;285;12;0;1;23/01/2015;0
Asylum;duckhunter;-;False;851;33;0;10;23/01/2016;2
Wireless;duckhunter;bktest;False;156;15;0;1;23/01/2014;1
PFMD - Why So Serious;duncan;matt_grandy;False;113;10;0;4;23/01/2015;0
PFMD - Somebody Who Gets It;duncan;matt_grandy;False;120;2;0;2;23/01/2015;1
